sinal_id,datahora_sinal,datahora_entrada,datahora_saida,horario_sinal,direcao,dow,token,pontos,resultado,config_id
68,2024-04-17 20:58:00,2024-04-17 21:00:00,2024-04-18 02:30:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
73,2024-04-19 10:30:00,2024-04-19 10:32:00,2024-04-19 10:52:00,10:30,SELL,Friday,10:30|SELL|Friday,50.5,TAKE,0
74,2024-04-21 20:58:00,2024-04-21 21:00:00,2024-04-22 10:48:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
88,2024-04-26 10:30:00,2024-04-26 10:32:00,2024-04-26 10:56:00,10:30,SELL,Friday,10:30|SELL|Friday,-117.0,STOP,0
89,2024-04-28 20:58:00,2024-04-28 21:00:00,2024-04-29 10:30:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
93,2024-04-30 03:48:00,2024-04-30 03:50:00,2024-04-30 12:08:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,-117.0,STOP,0
98,2024-05-01 20:58:00,2024-05-01 21:00:00,2024-05-02 04:50:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
108,2024-05-07 03:48:00,2024-05-07 03:50:00,2024-05-07 10:32:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
118,2024-05-10 10:30:00,2024-05-10 10:32:00,2024-05-10 11:28:00,10:30,SELL,Friday,10:30|SELL|Friday,50.5,TAKE,0
119,2024-05-12 20:58:00,2024-05-12 21:00:00,2024-05-13 02:46:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
121,2024-05-13 10:30:00,2024-05-13 10:32:00,2024-05-14 09:30:00,10:30,BUY,Monday,10:30|BUY|Monday,-117.0,STOP,0
128,2024-05-15 20:58:00,2024-05-15 21:00:00,2024-05-17 15:00:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,-117.0,STOP,0
134,2024-05-19 20:58:00,2024-05-19 21:00:00,2024-05-20 10:50:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
143,2024-05-22 20:58:00,2024-05-22 21:00:00,2024-05-22 23:56:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
148,2024-05-24 10:30:00,2024-05-24 10:32:00,2024-05-24 11:58:00,10:30,SELL,Friday,10:30|SELL|Friday,-117.0,STOP,0
151,2024-05-27 10:30:00,2024-05-27 10:32:00,2024-05-27 13:14:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
153,2024-05-28 03:48:00,2024-05-28 03:50:00,2024-05-28 15:38:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,-117.0,STOP,0
163,2024-05-31 10:30:00,2024-05-31 10:32:00,2024-05-31 10:52:00,10:30,SELL,Friday,10:30|SELL|Friday,50.5,TAKE,0
164,2024-06-02 20:58:00,2024-06-02 21:00:00,2024-06-02 21:20:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
165,2024-06-03 03:48:00,2024-06-03 03:50:00,2024-06-03 10:30:00,03:48,BUY,Monday,03:48|BUY|Monday,50.5,TAKE,0
166,2024-06-03 10:30:00,2024-06-03 10:32:00,2024-06-03 11:52:00,10:30,BUY,Monday,10:30|BUY|Monday,-117.0,STOP,0
168,2024-06-04 03:48:00,2024-06-04 03:50:00,2024-06-04 10:30:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
173,2024-06-05 20:58:00,2024-06-05 21:00:00,2024-06-07 09:30:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
180,2024-06-10 03:48:00,2024-06-10 03:50:00,2024-06-10 12:00:00,03:48,BUY,Monday,03:48|BUY|Monday,50.5,TAKE,0
183,2024-06-11 03:48:00,2024-06-11 03:50:00,2024-06-11 14:54:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
188,2024-06-12 20:58:00,2024-06-12 21:00:00,2024-06-13 03:48:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
194,2024-06-16 20:58:00,2024-06-16 21:00:00,2024-06-17 13:12:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
198,2024-06-18 03:48:00,2024-06-18 03:50:00,2024-06-18 06:14:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
203,2024-06-19 20:58:00,2024-06-19 21:00:00,2024-06-20 00:44:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
210,2024-06-24 03:48:00,2024-06-24 03:50:00,2024-06-24 10:48:00,03:48,BUY,Monday,03:48|BUY|Monday,-117.0,STOP,0
213,2024-06-25 03:48:00,2024-06-25 03:50:00,2024-06-25 07:00:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
223,2024-06-28 10:30:00,2024-06-28 10:32:00,2024-06-28 11:00:00,10:30,SELL,Friday,10:30|SELL|Friday,-117.0,STOP,0
225,2024-07-01 03:48:00,2024-07-01 03:50:00,2024-07-01 10:46:00,03:48,BUY,Monday,03:48|BUY|Monday,-117.0,STOP,0
233,2024-07-03 20:58:00,2024-07-03 21:00:00,2024-07-05 03:30:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
238,2024-07-05 10:30:00,2024-07-05 10:32:00,2024-07-05 12:40:00,10:30,SELL,Friday,10:30|SELL|Friday,-117.0,STOP,0
241,2024-07-08 10:30:00,2024-07-08 10:32:00,2024-07-08 12:52:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
243,2024-07-09 03:48:00,2024-07-09 03:50:00,2024-07-10 10:48:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
248,2024-07-10 20:58:00,2024-07-10 21:00:00,2024-07-11 09:30:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
254,2024-07-14 20:58:00,2024-07-14 21:00:00,2024-07-15 02:42:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
268,2024-07-19 10:30:00,2024-07-19 10:32:00,2024-07-19 10:40:00,10:30,SELL,Friday,10:30|SELL|Friday,-117.0,STOP,0
269,2024-07-21 20:58:00,2024-07-21 21:00:00,2024-07-22 07:22:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
283,2024-07-26 10:30:00,2024-07-26 10:32:00,2024-07-26 10:46:00,10:30,SELL,Friday,10:30|SELL|Friday,50.5,TAKE,0
284,2024-07-28 20:58:00,2024-07-28 21:00:00,2024-07-28 21:26:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
293,2024-07-31 20:58:00,2024-07-31 21:00:00,2024-08-01 05:08:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,-117.0,STOP,0
300,2024-08-05 03:48:00,2024-08-05 03:50:00,2024-08-05 03:54:00,03:48,BUY,Monday,03:48|BUY|Monday,50.5,TAKE,0
301,2024-08-05 10:30:00,2024-08-05 10:32:00,2024-08-05 10:32:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
303,2024-08-06 03:48:00,2024-08-06 03:50:00,2024-08-06 05:14:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,-117.0,STOP,0
314,2024-08-11 20:58:00,2024-08-11 21:00:00,2024-08-12 04:50:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
318,2024-08-13 03:48:00,2024-08-13 03:50:00,2024-08-13 04:08:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
330,2024-08-19 03:48:00,2024-08-19 03:50:00,2024-08-19 09:22:00,03:48,BUY,Monday,03:48|BUY|Monday,50.5,TAKE,0
333,2024-08-20 03:48:00,2024-08-20 03:50:00,2024-08-20 11:36:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,-117.0,STOP,0
338,2024-08-21 20:58:00,2024-08-21 21:00:00,2024-08-22 08:20:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
344,2024-08-25 20:58:00,2024-08-25 21:00:00,2024-08-25 21:50:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
345,2024-08-26 03:48:00,2024-08-26 03:50:00,2024-08-26 05:06:00,03:48,BUY,Monday,03:48|BUY|Monday,50.5,TAKE,0
346,2024-08-26 10:30:00,2024-08-26 10:32:00,2024-08-26 11:10:00,10:30,BUY,Monday,10:30|BUY|Monday,-117.0,STOP,0
358,2024-08-30 10:30:00,2024-08-30 10:32:00,2024-08-30 11:56:00,10:30,SELL,Friday,10:30|SELL|Friday,50.5,TAKE,0
360,2024-09-02 03:48:00,2024-09-02 03:50:00,2024-09-02 09:02:00,03:48,BUY,Monday,03:48|BUY|Monday,50.5,TAKE,0
361,2024-09-02 10:30:00,2024-09-02 10:32:00,2024-09-02 19:02:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
363,2024-09-03 03:48:00,2024-09-03 03:50:00,2024-09-03 04:32:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
374,2024-09-08 20:58:00,2024-09-08 21:00:00,2024-09-08 21:54:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
375,2024-09-09 03:48:00,2024-09-09 03:50:00,2024-09-09 04:52:00,03:48,BUY,Monday,03:48|BUY|Monday,50.5,TAKE,0
376,2024-09-09 10:30:00,2024-09-09 10:32:00,2024-09-09 10:52:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
383,2024-09-11 20:58:00,2024-09-11 21:00:00,2024-09-11 23:28:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
388,2024-09-13 10:30:00,2024-09-13 10:32:00,2024-09-13 11:24:00,10:30,SELL,Friday,10:30|SELL|Friday,-117.0,STOP,0
389,2024-09-15 20:58:00,2024-09-15 21:00:00,2024-09-16 10:12:00,20:58,BUY,Sunday,20:58|BUY|Sunday,-117.0,STOP,0
393,2024-09-17 03:48:00,2024-09-17 03:50:00,2024-09-17 04:42:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
398,2024-09-18 20:58:00,2024-09-18 21:00:00,2024-09-18 21:00:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
403,2024-09-20 10:30:00,2024-09-20 10:32:00,2024-09-22 19:00:00,10:30,SELL,Friday,10:30|SELL|Friday,-117.0,STOP,0
404,2024-09-22 20:58:00,2024-09-22 21:00:00,2024-09-22 21:48:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
408,2024-09-24 03:48:00,2024-09-24 03:50:00,2024-09-24 05:18:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
413,2024-09-25 20:58:00,2024-09-25 21:00:00,2024-09-25 23:36:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
419,2024-09-29 20:58:00,2024-09-29 21:00:00,2024-09-29 23:34:00,20:58,BUY,Sunday,20:58|BUY|Sunday,-117.0,STOP,0
420,2024-09-30 03:48:00,2024-09-30 03:50:00,2024-09-30 04:08:00,03:48,BUY,Monday,03:48|BUY|Monday,50.5,TAKE,0
421,2024-09-30 10:30:00,2024-09-30 10:32:00,2024-09-30 15:20:00,10:30,BUY,Monday,10:30|BUY|Monday,-117.0,STOP,0
428,2024-10-02 20:58:00,2024-10-02 21:00:00,2024-10-03 00:36:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,-117.0,STOP,0
435,2024-10-07 03:48:00,2024-10-07 03:50:00,2024-10-07 06:04:00,03:48,BUY,Monday,03:48|BUY|Monday,-117.0,STOP,0
436,2024-10-07 10:30:00,2024-10-07 10:32:00,2024-10-07 15:30:00,10:30,BUY,Monday,10:30|BUY|Monday,-117.0,STOP,0
443,2024-10-09 20:58:00,2024-10-09 21:00:00,2024-10-10 09:40:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,-117.0,STOP,0
448,2024-10-11 10:30:00,2024-10-11 10:32:00,2024-10-11 11:16:00,10:30,SELL,Friday,10:30|SELL|Friday,-117.0,STOP,0
451,2024-10-14 10:30:00,2024-10-14 10:32:00,2024-10-14 10:42:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
465,2024-10-21 03:48:00,2024-10-21 03:50:00,2024-10-21 10:48:00,03:48,BUY,Monday,03:48|BUY|Monday,50.5,TAKE,0
468,2024-10-22 03:48:00,2024-10-22 03:50:00,2024-10-22 11:06:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
479,2024-10-27 20:58:00,2024-10-27 21:00:00,2024-10-28 01:50:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
481,2024-10-28 10:30:00,2024-10-28 10:32:00,2024-10-28 11:42:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
483,2024-10-29 03:48:00,2024-10-29 03:50:00,2024-10-29 11:24:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
493,2024-11-01 10:30:00,2024-11-01 10:32:00,2024-11-01 11:12:00,10:30,SELL,Friday,10:30|SELL|Friday,-117.0,STOP,0
494,2024-11-03 20:58:00,2024-11-03 21:00:00,2024-11-03 22:50:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
496,2024-11-04 10:30:00,2024-11-04 10:32:00,2024-11-04 11:34:00,10:30,BUY,Monday,10:30|BUY|Monday,-117.0,STOP,0
498,2024-11-05 03:48:00,2024-11-05 03:50:00,2024-11-05 11:30:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
501,2024-11-06 20:58:00,2024-11-06 21:00:00,2024-11-07 02:32:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
506,2024-11-08 10:30:00,2024-11-08 10:32:00,2024-11-10 20:06:00,10:30,SELL,Friday,10:30|SELL|Friday,-117.0,STOP,0
507,2024-11-10 20:58:00,2024-11-10 21:00:00,2024-11-11 11:50:00,20:58,BUY,Sunday,20:58|BUY|Sunday,-117.0,STOP,0
511,2024-11-12 03:48:00,2024-11-12 03:50:00,2024-11-12 14:56:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,-117.0,STOP,0
516,2024-11-13 20:58:00,2024-11-13 21:00:00,2024-11-14 12:18:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,-117.0,STOP,0
521,2024-11-15 10:30:00,2024-11-15 10:32:00,2024-11-15 11:18:00,10:30,SELL,Friday,10:30|SELL|Friday,50.5,TAKE,0
522,2024-11-17 20:58:00,2024-11-17 21:00:00,2024-11-17 21:54:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
523,2024-11-18 03:48:00,2024-11-18 03:50:00,2024-11-18 10:12:00,03:48,BUY,Monday,03:48|BUY|Monday,-117.0,STOP,0
526,2024-11-19 03:48:00,2024-11-19 03:50:00,2024-11-19 05:40:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,-117.0,STOP,0
531,2024-11-20 20:58:00,2024-11-20 21:00:00,2024-11-20 22:14:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,-117.0,STOP,0
536,2024-11-22 10:30:00,2024-11-22 10:32:00,2024-11-22 12:22:00,10:30,SELL,Friday,10:30|SELL|Friday,50.5,TAKE,0
541,2024-11-26 03:48:00,2024-11-26 03:50:00,2024-11-26 11:10:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
546,2024-11-27 20:58:00,2024-11-27 21:00:00,2024-11-28 09:56:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
551,2024-11-29 10:30:00,2024-11-29 10:32:00,2024-11-29 12:10:00,10:30,SELL,Friday,10:30|SELL|Friday,-117.0,STOP,0
553,2024-12-02 03:48:00,2024-12-02 03:50:00,2024-12-02 09:10:00,03:48,BUY,Monday,03:48|BUY|Monday,50.5,TAKE,0
554,2024-12-02 10:30:00,2024-12-02 10:32:00,2024-12-02 11:30:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
556,2024-12-03 03:48:00,2024-12-03 03:50:00,2024-12-03 17:56:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
567,2024-12-08 20:58:00,2024-12-08 21:00:00,2024-12-09 12:36:00,20:58,BUY,Sunday,20:58|BUY|Sunday,-117.0,STOP,0
582,2024-12-15 20:58:00,2024-12-15 21:00:00,2024-12-16 06:40:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
584,2024-12-16 10:30:00,2024-12-16 10:32:00,2024-12-16 11:52:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
597,2025-01-01 20:58:00,2025-01-01 21:00:00,2025-01-01 21:16:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,-117.0,STOP,0
602,2025-01-03 10:30:00,2025-01-03 10:32:00,2025-01-03 11:38:00,10:30,SELL,Friday,10:30|SELL|Friday,-117.0,STOP,0
603,2025-01-05 20:58:00,2025-01-05 21:00:00,2025-01-06 04:34:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
617,2025-01-10 10:30:00,2025-01-10 10:32:00,2025-01-10 10:32:00,10:30,SELL,Friday,10:30|SELL|Friday,50.5,TAKE,0
618,2025-01-12 20:58:00,2025-01-12 21:00:00,2025-01-13 00:22:00,20:58,BUY,Sunday,20:58|BUY|Sunday,-117.0,STOP,0
620,2025-01-13 10:30:00,2025-01-13 10:32:00,2025-01-13 12:44:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
627,2025-01-15 20:58:00,2025-01-15 21:00:00,2025-01-16 04:04:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
634,2025-01-20 03:48:00,2025-01-20 03:50:00,2025-01-20 10:30:00,03:48,BUY,Monday,03:48|BUY|Monday,50.5,TAKE,0
635,2025-01-20 10:30:00,2025-01-20 10:32:00,2025-01-20 10:52:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
637,2025-01-21 03:48:00,2025-01-21 03:50:00,2025-01-21 05:34:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
650,2025-01-27 10:30:00,2025-01-27 10:32:00,2025-01-27 11:30:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
652,2025-01-28 03:48:00,2025-01-28 03:50:00,2025-01-28 04:28:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
663,2025-02-02 20:58:00,2025-02-02 21:00:00,2025-02-02 23:40:00,20:58,BUY,Sunday,20:58|BUY|Sunday,-117.0,STOP,0
664,2025-02-03 03:48:00,2025-02-03 03:50:00,2025-02-03 04:50:00,03:48,BUY,Monday,03:48|BUY|Monday,50.5,TAKE,0
665,2025-02-03 10:30:00,2025-02-03 10:32:00,2025-02-03 11:38:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
667,2025-02-04 03:48:00,2025-02-04 03:50:00,2025-02-04 09:08:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
672,2025-02-05 20:58:00,2025-02-05 21:00:00,2025-02-06 02:22:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
677,2025-02-07 10:30:00,2025-02-07 10:32:00,2025-02-07 11:32:00,10:30,SELL,Friday,10:30|SELL|Friday,-117.0,STOP,0
678,2025-02-09 20:58:00,2025-02-09 21:00:00,2025-02-09 21:58:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
680,2025-02-10 10:30:00,2025-02-10 10:32:00,2025-02-10 12:04:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
687,2025-02-12 20:58:00,2025-02-12 21:00:00,2025-02-13 05:30:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,-117.0,STOP,0
693,2025-02-16 20:58:00,2025-02-16 21:00:00,2025-02-16 23:22:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
697,2025-02-18 03:48:00,2025-02-18 03:50:00,2025-02-18 11:46:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,-117.0,STOP,0
702,2025-02-19 20:58:00,2025-02-19 21:00:00,2025-02-20 11:52:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,-117.0,STOP,0
708,2025-02-23 20:58:00,2025-02-23 21:00:00,2025-02-24 06:06:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
710,2025-02-24 10:30:00,2025-02-24 10:32:00,2025-02-24 11:50:00,10:30,BUY,Monday,10:30|BUY|Monday,-117.0,STOP,0
724,2025-03-03 03:48:00,2025-03-03 03:50:00,2025-03-03 09:02:00,03:48,BUY,Monday,03:48|BUY|Monday,50.5,TAKE,0
727,2025-03-04 03:48:00,2025-03-04 03:50:00,2025-03-04 07:02:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,-117.0,STOP,0
737,2025-03-07 10:30:00,2025-03-07 10:32:00,2025-03-07 10:32:00,10:30,SELL,Friday,10:30|SELL|Friday,50.5,TAKE,0
740,2025-03-10 10:30:00,2025-03-10 10:32:00,2025-03-10 10:54:00,10:30,BUY,Monday,10:30|BUY|Monday,-117.0,STOP,0
747,2025-03-12 20:58:00,2025-03-12 21:00:00,2025-03-13 00:06:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,-117.0,STOP,0
754,2025-03-17 03:48:00,2025-03-17 03:50:00,2025-03-17 05:58:00,03:48,BUY,Monday,03:48|BUY|Monday,50.5,TAKE,0
757,2025-03-18 03:48:00,2025-03-18 03:50:00,2025-03-18 05:30:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
762,2025-03-19 20:58:00,2025-03-19 21:00:00,2025-03-20 00:08:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
767,2025-03-21 10:30:00,2025-03-21 10:32:00,2025-03-21 17:00:00,10:30,SELL,Friday,10:30|SELL|Friday,-117.0,STOP,0
768,2025-03-23 20:58:00,2025-03-23 21:00:00,2025-03-24 04:14:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
770,2025-03-24 10:30:00,2025-03-24 10:32:00,2025-03-24 10:38:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
777,2025-03-26 20:58:00,2025-03-26 21:00:00,2025-03-26 23:06:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
787,2025-04-01 03:48:00,2025-04-01 03:50:00,2025-04-01 04:06:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
802,2025-04-08 03:48:00,2025-04-08 03:50:00,2025-04-08 04:20:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
807,2025-04-09 20:58:00,2025-04-09 21:00:00,2025-04-09 21:34:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,-117.0,STOP,0
812,2025-04-11 10:30:00,2025-04-11 10:32:00,2025-04-11 10:38:00,10:30,SELL,Friday,10:30|SELL|Friday,-117.0,STOP,0
814,2025-04-14 03:48:00,2025-04-14 03:50:00,2025-04-14 05:04:00,03:48,BUY,Monday,03:48|BUY|Monday,50.5,TAKE,0
815,2025-04-14 10:30:00,2025-04-14 10:32:00,2025-04-14 10:40:00,10:30,BUY,Monday,10:30|BUY|Monday,-117.0,STOP,0
825,2025-04-20 20:58:00,2025-04-20 21:00:00,2025-04-20 21:28:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
826,2025-04-21 03:48:00,2025-04-21 03:50:00,2025-04-21 08:24:00,03:48,BUY,Monday,03:48|BUY|Monday,-117.0,STOP,0
829,2025-04-22 03:48:00,2025-04-22 03:50:00,2025-04-22 03:58:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,50.5,TAKE,0
834,2025-04-23 20:58:00,2025-04-23 21:00:00,2025-04-24 01:14:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,-117.0,STOP,0
841,2025-04-28 03:48:00,2025-04-28 03:50:00,2025-04-28 09:46:00,03:48,BUY,Monday,03:48|BUY|Monday,50.5,TAKE,0
842,2025-04-28 10:30:00,2025-04-28 10:32:00,2025-04-28 10:44:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
849,2025-04-30 20:58:00,2025-04-30 21:00:00,2025-05-01 02:34:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
857,2025-05-05 10:30:00,2025-05-05 10:32:00,2025-05-05 10:56:00,10:30,BUY,Monday,10:30|BUY|Monday,50.5,TAKE,0
859,2025-05-06 03:48:00,2025-05-06 03:50:00,2025-05-06 05:20:00,03:48,BUY,Tuesday,03:48|BUY|Tuesday,-117.0,STOP,0
864,2025-05-07 20:58:00,2025-05-07 21:00:00,2025-05-07 21:56:00,20:58,BUY,Wednesday,20:58|BUY|Wednesday,50.5,TAKE,0
870,2025-05-11 20:58:00,2025-05-11 21:00:00,2025-05-11 21:40:00,20:58,BUY,Sunday,20:58|BUY|Sunday,50.5,TAKE,0
